query_id,retrieved_doc,retrieval_miss,retrieval_score,standalone_answer,rag_answer,standalone_unsupported_rate,rag_unsupported_rate,generation_failure
1,10608397,1,0.18877793848514557,0-dimensional biomaterials show inductive properties.,a high-performance neuroprosthetic limb.,1.0,1.0,1
3,23389795,1,0.39404091238975525,"Using a genome-based mapping of genetic sequence variation, 1,000 genomes project enables mapping of genetic sequence variation consisting of rare variants with larger penetrance effects than common variants.","The study of genetic variants that influence the susceptibility of an individual to a chronic disease, from RA Fisher's seminal work to the current excitement of whole-genome association studies (WGAS) and the",0.631578947368421,0.7222222222222222,1
5,17333231,1,0.23267856240272522,a psi-positive psi-positive psi-positive psi-positive psi-positive psi-positive psi-positive psi,ADAM10 is a potent modulator of prion disease.,0.5,0.8,1
13,7662395,1,0.39386260509490967,5% of perinatal mortality is due to low birth weight.,The perinatal mortality rate in rural China is higher than previously reported for both rural and urban areas in China.,0.6666666666666666,0.9166666666666666,1
36,42441846,1,0.2503008544445038,B12 is a molecule that is a molecule that is a molecule that is a molecule that is a molecule that is a molecule that is a molecule that is a ,TT genotype-specific threshold of folate and vitamin B12 for the MTHFR C677T polymorphism in a Korean population.,1.0,0.8181818181818182,1
42,40913091,1,0.37473350763320923,A high microerythrocyte count raises vulnerability to severe anemia in homozygous alpha (+)- thalassemia trait subjects.," -gene, s-gene, and hemoglobin variants in subjects with microcytic hypochromic anemia [MCV80fl; MCH27pg] were studied",0.5833333333333334,1.0,1
48,18617259,1,0.28730273246765137,vCJD is a common viral infection in the UK.,The vCJD virus is a preclinical variant of Creutzfeldt-Jakob disease in the UK.,0.5,0.8571428571428571,1
49,5702790,1,0.4987099766731262,ADAR1 binds to Dicer to cleave pre-miRNA.,We show that Dicer-2 is a dsRNA-stimulated ATPase that hydrolyzes ATP to ADP; ATP hydrolysis is required for Dicer-2 to process long d,0.3333333333333333,0.9166666666666666,1
50,12580014,0,0.34337201714515686,AIRE is expressed in some skin tumors.,Our results provide a new insight into the K17-dependent amplification of inflammatory and immune responses in diseased epithelia.,0.2,0.14285714285714285,0
51,2140497,1,0.2631012797355652,ALDH1 expression is associated with better breast cancer outcomes.,.002).,0.42857142857142855,1.0,1
53,2140497,1,0.2747204899787903,ALDH1 expression is associated with poorer prognosis in breast cancer.,trend) = .002).,0.2857142857142857,1.0,1
54,1590744,1,0.3924788534641266,AMP-activated protein kinase activation increases inflammation-related fibrosis in the lungs.,The AMP-activated protein kinase regulates vascular function under physiological and pathophysiological conditions.,0.7,0.9090909090909091,1
56,4709641,0,0.4045454263687134,APOE4 expression in iPSC-derived neurons increases AlphaBeta production and tau phosphorylation causing GABA neuron degeneration.,ApoE4 expression in human neurons derived from pluripotent stem cells showed a gain of toxic effects from ApoE4 and a small-molecule structure corrector.,0.2857142857142857,0.0625,0
57,4709641,0,0.3966792821884155,"APOE4 expression in iPSC-derived neurons increases AlphaBeta production and tau phosphorylation, delaying GABA neuron degeneration.",ApoE4 expression in human neurons derived from pluripotent stem cells showed a gain of toxic effects from ApoE4 and a small-molecule structure corrector.,0.2857142857142857,0.0625,0
70,5956380,0,0.3380450904369354,PPM1D suppresses p53 function.,"PPM1D mutations in brainstem gliomas and thalamic gliomas are associated with p53-induced protein phosphatase 1D (WIP1), a potential therapeutic",0.25,0.0,0
72,1744752,1,0.1014687716960907,Admpchordin is a synthesis of a synthesis of a synthesis of a synthesis of a synthesis of a synthesis of a synthesis of a synthesis of a ,These observations reveal the mechanism of binding of the PA26 C terminus and a conserved lysine.,1.0,0.8888888888888888,1
